chamber,district,region,counties,locale,in_cycle_2024,holdover_senator,holdover_party,holdover_link,
house,HD 1,Western Montana,Lincoln,"Eureka, Troy",yes,
house,HD 2,Western Montana,"Flathead, Lincoln",Libby,yes,
house,HD 3,Flathead Valley,Flathead,"North Whitefish, West Glacier",yes,
house,HD 4,Flathead Valley,Flathead,"Southeast Whitefish, Columbia Falls",yes,
house,HD 5,Flathead Valley,Flathead,Hungry Horse,yes,
house,HD 6,Flathead Valley,Flathead,Northwest of Kalispell,yes,
house,HD 7,Flathead Valley,Flathead,Central Kalispell,yes,
house,HD 8,Flathead Valley,Flathead,Northeast Kalispell,yes,
house,HD 9,Flathead Valley,Flathead,South of Kalispell,yes,
house,HD 10,Flathead Valley,Flathead,West Kalispell,yes,
house,HD 11,Flathead Valley,Flathead,East of Kalispell,yes,
house,HD 12,Flathead Valley,"Flathead, Lake","Bigfork, Flathead Lake",yes,
house,HD 13,Western Montana,Lake,Polson,yes,
house,HD 14,Western Montana,Sanders,"Noxon, Trout Creek, Thompson Falls, Plains",yes,
house,HD 15,Western Montana,"Flathead, Glacier, Lake, Pondera","South Browning, Heart Butte, St. Ignatius",yes,
house,HD 16,Western Montana,Glacier,"North Browning, East Glacier, Cut Bank",yes,
house,HD 17,North-central Montana,"Lewis and Clark, Teton","Choteau, Fairfield, Wolf Creek, North Helena Valley",yes,
house,HD 18,North-central Montana,"Pondera, Teton, Toole","Conrad, Valier, Shelby, Dutton",yes,
house,HD 19,Great Falls area,Cascade,Downtown Great Falls,yes,
house,HD 20,Great Falls area,Cascade,East-central Great Falls,yes,
house,HD 21,Great Falls area,Cascade,"Northwest Great Falls, Black Eagle",yes,
house,HD 22,Great Falls area,Cascade,"East Great Falls, Malmstrom Air Force Base",yes,
house,HD 23,Great Falls area,Cascade,South Great Falls,yes,
house,HD 24,Great Falls area,Cascade,West Great Falls,yes,
house,HD 25,North-central Montana,Cascade,"Cascade, Ulm, Vaughn",yes,
house,HD 26,North-central Montana,"Cascade, Chouteau","Fort Benton, Big Sandy, Geraldine",yes,
house,HD 27,North-central Montana,Hill,Havre,yes,
